APELLIDOS Y NOMBRE,BANCADA,REGIÓN,SEDE,Nº CASO,ACTUALIZACIÓN,SITUACIÓN,DELITO
"GONZALES TUANAMA, CÉSAR",Somos Perú,Ucayali,04º Fiscalia Provincial Penal Corporativa De Coronel Portillo(Ncpp),"03006014504-2012-
0001360001","Jul 25, 2014",Con Archivo (Preliminar),"USURPACIÓN DE AUTORIDAD, TITULOS Y HONORES (EJERCICIO ILEGAL DE PROFESION)"
"URRESTI ELERA, DANIEL BELIZARIO",Podemos,Lima,40º Fiscalia Provincial En Lo Penal De Lima,"00506010140-2014-
0001630000","Jul 22, 2014",Archivo Definitivo,CONTRA LA FE PUBLICA (FALSEDAD IDEOLOGICA)
"ACUÑA PERALTA, HUMBERTO",APP,Lambayeque,01º Fiscalia Provincial Penal Corporativa De Chiclayo,"02406074501-2013-
0022380000","Jul 22, 2014",Con Sobreseimiento,ABUSO DE AUTORIDAD
"ACUÑA PERALTA, HUMBERTO",APP,Lambayeque,02º Fiscalia Provincial Penal Corporativa De Chiclayo,"02406074502-2014-
0021100000","Jul 18, 2014",En Calificacion (Califica),CONTRA LA PAZ PUBLICA (ASOCIACION ILICITA )
"ESPINOZA VELARDE, YEREMI ARON",Podemos,Lima,55ºfiscalia Provincial En Lo Penal De Lima,"00506010157-2012-
0003950000","Jul 14, 2014",Con Dictamen,ESTAFA
"ESPINOZA ROSALES, RENNÁN SAMUEL",No agrupado,Lima,1ª Fiscalia Provincial De Prevencion Del Delito Lima- Norte,"00606020606-2014-
0008290000","Jul 11, 2014",Investigacion,DELITOS AMBIENTALES
"ACUÑA PERALTA, HUMBERTO",APP,Lambayeque,01º Fiscalia Provincial Penal Corporativa De Chiclayo,"02406074501-2012-
0027550000","Jul 8, 2014",Con Archivo (Preliminar),DELITOS COMETIDOS POR FUNCIONARIOS PUBLICOS
"TITO ORTEGA, ERWIN",Fuerza Popular,Junín,Fiscalia Provincial Mixta De Tayacaja,"02206060901-2014-
0002880000","Jul 1, 2014",Archivo Definitivo,TRATA DE PERSONAS(LEY 28950)
"ESPINOZA ROSALES, RENNÁN SAMUEL",No agrupado,Lima,01°Fiscalia Provincial Mixta De Puente Piedra,"00606020613-2011-
0005680000","Jun 17, 2014",Archivo Definitivo,ABUSO DE AUTORIDAD (OMISION Y REHUS.RETARD.ACTO.OFIC.)
"NÚÑEZ SALAS, JOSÉ ANTONIO",Morado,Arequipa,Fiscalia Provincial Penal Corporativa De Pedregal,"01506024502-2014-
0003400000","Jun 13, 2014",Con Archivo (Preliminar),USURPACION
"ESPINOZA ROSALES, RENNÁN SAMUEL",No agrupado,Lima,Fiscalia Superior Penal Transitoria De Lima Norte,"00606020615-2014-
0001260000","Jun 5, 2014",Con Dictamen,VIOLENCIA Y RESISTENCIA A LA AUTORIDAD (DESOB.Y.RESIST.A.ORDEN.OFICIAL)
"ARAPA ROQUE, JESÚS ORLANDO",Acción Popular,Puno,2ª Fiscalía Provincial Penal Corporativa De Puno(Ncpp),"02706014502-2014-
0004800000","May 29, 2014",Con Archivo (Preliminar),ATENTADOS CONTRA LA PATRIA POTESTAD (SUSTRACCION O RETENCION DE MENOR)
"ACUÑA PERALTA, HUMBERTO",APP,Lambayeque,02º Fiscalia Provincial Penal Corporativa De Chiclayo,"02406074502-2014-
0013160000","May 21, 2014",Con Archivo (Preliminar),DELITO CONTRA LA ADMINISTRACION PUBLICA
"VALDEZ FARÍAS, LUIS ALBERTO",APP,La Libertad,Fiscalia Provincial Corporativa Especializada En Delitos De Corrupcion De Funcionarios - La Libertad,"02306014502-2013-
0014990001","May 8, 2014",Con Archivo (Preliminar),APROPIACION ILICITA(BIEN.MUEB.SUM.DINER)
"URRESTI ELERA, DANIEL BELIZARIO",Podemos,Lima,Fiscalia Superior Mixta De Camana,"01505030601-2014-
0001810000","May 8, 2014",Derivado (Califica),USURPACION (DESTRUCCION.ALTERAC.LIMITES)
"SIMEÓN HURTADO, LUIS CARLOS",Acción Popular,Pasco,25º Fiscalia Provincial En Lo Penal De Lima,"00506010125-2012-
0006670000","May 6, 2014",Archivo Definitivo,CONTRA LA FE PUBLICA (FALSIFICACION DOCUMENTARIA)
"VALDEZ FARÍAS, LUIS ALBERTO",APP,La Libertad,Fiscalia Provincial Corporativa Especializada En Delitos De Corrupcion De Funcionarios - La Libertad,"02306014502-2013-
0014990000","Apr 29, 2014",Con Acusacion,APROPIACION ILICITA(BIEN.MUEB.SUM.DINER)
"VALDEZ FARÍAS, LUIS ALBERTO",APP,La Libertad,Fiscalia Provincial Corporativa Especializada En Delitos De Corrupcion De Funcionarios - La Libertad,"02306014502-2013-
0014990002","Apr 22, 2014",Con Archivo (Preliminar),APROPIACION ILICITA(BIEN.MUEB.SUM.DINER)
"ESPINOZA ROSALES, RENNÁN SAMUEL",No agrupado,Lima,02ºfiscalia Provincial Mixta De Puente Piedra,"00606020614-2010-
0007350001","Apr 9, 2014",Con Dictamen,VIOLENCIA Y RESISTENCIA A LA AUTORIDAD (DESOB.Y.RESIST.A.ORDEN.OFICIAL)
"ALARCÓN TEJADA, EDGAR ARNOLD",UPP,Arequipa,09º Fiscalia Provincial En Lo Penal De Lima,"00506010109-2013-
0006740000","Apr 7, 2014",Archivo Definitivo,"USURPACIÓN DE AUTORIDAD, TITULOS Y HONORES (USO ILICITO DE INSIG.GRAD.ETC)"
"ALIAGA PAJARES, GUILLERMO ALEJANDRO ANTONIO",Somos Perú,Lima,Fiscalia Provincial Especializada En Materia Ambiental - Sede Huari,"01306095200-2013-
0000370000","Apr 1, 2014",No Ha Lugar,CONTRA LOS RECURSOS NATURALES Y MEDIO AMBIENTE (CONTAMINACION AMBIENTAL)
"GUIBOVICH ARTEAGA, OTTO NAPOLEÓN",Acción Popular,Ancash,01º Fiscalia Provincial Penal Corporativa De Leoncio Prado (Ncpp),"02006060101-2010-
0006450000","Mar 27, 2014",Con Archivo (Califica),VIOLENCIA Y RESISTENCIA A LA AUTORIDAD
"AYASTA DE DÍAZ, RITA ELENA",Fuerza Popular,Lambayeque,Fiscalia Provincial Mixta Coorporativa La Victoria,"02406094500-2014-
0001480000","Mar 25, 2014",Con Archivo (Califica),COACCION
"CHAGUA PAYANO, POSEMOSCROWTE IRRHOSCOPT",UPP,Huancavelica,38º Fiscalia Provincial En Lo Penal De Lima,"00506012802-2005-
0000050065","Mar 21, 2014",Con Dictamen,HOMICIDIO
"COLUMBUS MURATA, DIETHELL",Fuerza Popular,Lima,04º Fiscalia Provincial En Lo Penal De Lima,"00506010104-2014-
0001070000","Mar 18, 2014",Archivo Definitivo,ABUSO DE AUTORIDAD
"MELÉNDEZ CELIS, FERNANDO",APP,Loreto,Fiscalia Provincial Corporativa Especializada En Delitos De Corrupcion De Funcionarios-Loreto,"02506015500-2012-
0002660000","Mar 15, 2014",Con Archivo (Preliminar),ABUSO DE AUTORIDAD (OMISION Y REHUS.RETARD.ACTO.OFIC.)
"ACUÑA PERALTA, HUMBERTO",APP,Lambayeque,02º Fiscalia Provincial Penal Corporativa De Lambayeque,"02406054502-2014-
0002060000","Feb 26, 2014","Con Archivo Definitivo (Inv.
Preven.)",VIOLENCIA Y RESISTENCIA A LA AUTORIDAD (DESOB.Y.RESIST.A.ORDEN.OFICIAL)
"AYASTA DE DÍAZ, RITA ELENA",Fuerza Popular,Lambayeque,Fiscalia Provincial Mixta Coorporativa La Victoria,"02406094500-2013-
0034340000","Feb 17, 2014",Asignado Pnp (Preliminar),ABUSO DE AUTORIDAD. (OMISION Y REHUS.RETARD.ACTO.OFIC.)
"QUISPE SUÁREZ, MARIO JAVIER",APP,Piura,02º Fiscalia Provincial Penal Corporativa De Paita,"02606054502-2013-
0003500003","Feb 4, 2014",Con Archivo (Preliminar),APROPIACION ILICITA(BIEN.MUEB.SUM.DINER)
"ESPINOZA VELARDE, YEREMI ARON",Podemos,Lima,08º Fiscalia Provincial En Lo Penal De Lima,"00506010151-2010-
0005640000","Feb 4, 2014",Con Dictamen,CONTRA LA FUNCIÓN JURISDICCIONAL (FRAUDE PROCESAL)
"MAQUERA CHAVEZ, HÉCTOR SIMON",UPP,Tacna,Fiscalia Provincial Mixta Corporativa De Alto De La Alianza,"02906010611-2014-
0001700000","Jan 31, 2014",Archivo,MALTRATO FISICO Y SICOLOGICO
"URRESTI ELERA, DANIEL BELIZARIO",Podemos,Lima,02º Fiscalia Provincial Penal Supraprovincial De Ayacucho,"01606012802-2008-
0000080000","Jan 27, 2014",Con Dictamen,HOMICIDIO
"ACUÑA PERALTA, HUMBERTO",APP,Lambayeque,02°Fiscalia De Prevencion Del Delito De Chiclayo,"02406074902-2013-
0001870000","Jan 23, 2014","Con Archivo Definitivo (Inv.
Preven.)",ABUSO DE AUTORIDAD. (OMISION Y REHUS.RETARD.ACTO.OFIC.)
"MERINO DE LAMA, MANUEL ARTURO",Acción Popular,Tumbes,06° Fiscalia Provincial En Lo Penal De Lima,"00506010106-2013-
0004240000","Jan 14, 2014",Archivo Definitivo,COACCION
"FABIÁN DÍAZ, YESSY NÉLIDA",Acción Popular,Huánuco,02º Fiscalia Provincial Penal Corporativa De Huanuco(Ncpp),"02006010103-2002-
0001670000","Jan 7, 2014",Con Archivo (Califica),VIOLENCIA Y RESISTENCIA A LA AUTORIDAD (ATENTADO CONTRA LA AUTORIDAD)
"HUAMÁN CHAMPI, JUAN DE DIOS",Frepap,Cusco,04º Fiscalía Superior Penal Del Cusco(Ncpp),"01806174502-2013-
0004650001","Jan 5, 2014",Audiencia De Apelacion,DELITO DE PELIGRO COMUN (IMPRUDENC.CONDUCCION.VEHICULAR)
"LIZANA SANTOS, MÁRTIRES",Fuerza Popular,Piura,02º Fiscalia Provincial Mixta Corporativa De Huancabamba,"02606034502-2013-
0001820000","Jan 5, 2014",Con Archivo (Preliminar),USURPACION (DOS O MAS PERSONAS)
"COLUMBUS MURATA, DIETHELL",Fuerza Popular,Lima,52° Fiscalia Provincial En Lo Penal De Lima,"00506010152-2013-
0003690000","Dec 24, 2013",Archivo Definitivo,SECUESTRO
"ACUÑA PERALTA, HUMBERTO",APP,Lambayeque,Fiscalia Superior Especializada Contra La Criminalidad Organizada,"00506014600-2011-
0000320000","Dec 18, 2013",Impugnacion Resuelta - Fiscal Superior,LAVADO DE ACTIVOS
"VALDEZ FARÍAS, LUIS ALBERTO",APP,La Libertad,04ºfiscalia Superior Penal De La Libertad,"02306014501-2010-
0031740006","Dec 17, 2013",Audiencia De Apelacion,ABUSO DE AUTORIDAD
"VALDEZ FARÍAS, LUIS ALBERTO",APP,La Libertad,04ºfiscalia Superior Penal De La Libertad,"02306014501-2010-
0031740005","Dec 17, 2013",Audiencia De Apelacion,ABUSO DE AUTORIDAD
"MELÉNDEZ CELIS, FERNANDO",APP,Loreto,04º Fiscalia Provincial Penal Corporativa De Maynas (Ncpp),"02506014504-2013-
0006060000","Dec 17, 2013",Con Archivo (Preliminar),LESIONES GRAVES (PELIGRO.INMINENTE.DE.LA.VIDA)
"RODAS MALCA, TANIA ROSALIA",APP,La Libertad,03° Fiscalia Provincial Penal Corporativa De Trujillo,"02306014502-2010-
0037240001","Dec 12, 2013",Con Sobreseimiento,LESIONES (CULPOSAS)
"LIZANA SANTOS, MÁRTIRES",Fuerza Popular,Piura,01º Fiscalia Provincial Mixta Corporativa De Huancabamba,"02606034501-2013-
0008650000","Dec 11, 2013",Derivado (Califica),OMISIÓN DE ASISTENCIA FAMILIAR (INCUMPLIM.OBLIG.ALIMENTARIA)
"ALARCÓN TEJADA, EDGAR ARNOLD",UPP,Arequipa,02º Fiscalia Provincial Penal Corporativa De Tumbes,"03506014502-2013-
0021550000","Nov 28, 2013",Con Archivo (Preliminar),ABUSO DE AUTORIDAD
"VALDEZ FARÍAS, LUIS ALBERTO",APP,La Libertad,01º Fiscalia Superior Penal De La Libertad,"02306014501-2010-
0031740004","Nov 26, 2013",Audiencia De Apelacion,ABUSO DE AUTORIDAD
"VALDEZ FARÍAS, LUIS ALBERTO",APP,La Libertad,Fiscalia Provincial Corporativa Especializada En Delitos De Corrupcion De Funcionarios - La Libertad,"02306014502-2013-
0049060000","Nov 11, 2013",En Calificacion (Califica),ABUSO DE AUTORIDAD
"ESPINOZA ROSALES, RENNÁN SAMUEL",No agrupado,Lima,02ºfiscalia Provincial Mixta De Puente Piedra,"00606020614-2010-
0007350000","Nov 5, 2013",Con Dictamen,VIOLENCIA Y RESISTENCIA A LA AUTORIDAD (DESOB.Y.RESIST.A.ORDEN.OFICIAL)
"CHAGUA PAYANO, POSEMOSCROWTE IRRHOSCOPT",UPP,Huancavelica,38º Fiscalia Provincial En Lo Penal De Lima,"00506012802-2005-
0000050064","Oct 30, 2013",Con Dictamen,HOMICIDIO
"ACUÑA PERALTA, HUMBERTO",APP,Lambayeque,03º Fiscalia Provincial Penal Corporativa De Chiclayo,"02406074503-2013-
0034080000","Oct 17, 2013",Con Archivo (Preliminar),DELITO CONTRA LA ADMINISTRACION PUBLICA
"ACUÑA PERALTA, HUMBERTO",APP,Lambayeque,02º Fiscalia Provincial Penal Corporativa De Chiclayo,"02406074502-2011-
0024140000","Oct 15, 2013",Con Sobreseimiento,DELITO CONTRA LA ADMINISTRACION PUBLICA
"CHAGUA PAYANO, POSEMOSCROWTE IRRHOSCOPT",UPP,Huancavelica,38º Fiscalia Provincial En Lo Penal De Lima,"00506012802-2005-
0000050063","Oct 11, 2013",Con Dictamen,HOMICIDIO
"CHAGUA PAYANO, POSEMOSCROWTE IRRHOSCOPT",UPP,Huancavelica,38º Fiscalia Provincial En Lo Penal De Lima,"00506012802-2005-
0000050062","Oct 11, 2013",Con Dictamen,HOMICIDIO
"LIZANA SANTOS, MÁRTIRES",Fuerza Popular,Piura,02º Fiscalia Provincial Mixta Corporativa De Huancabamba,"02606030602-2008-
0002160000","Oct 3, 2013",Con Sobreseimiento,PECULADO (DE USO)
"GONZALES TUANAMA, CÉSAR",Somos Perú,Ucayali,01º Fiscalia Provincial Penal Corporativa De Coronel Portillo(Ncpp),"03006010102-2012-
0000190000","Sep 24, 2013",Con Archivo (Preliminar),FALSIFICACION DOCUMENTARIA
"ARAPA ROQUE, JESÚS ORLANDO",Acción Popular,Puno,1ª Fiscalia Provincial Civil Y Familia De Puno,"02706014801-2013-
0007070000","Sep 18, 2013",Archivo,MALTRATO SICOLOGICO
"BURGA CHUQUIPIONDO, RICARDO MIGUEL",Acción Popular,Lima,08º Fiscalia Provincial En Lo Penal De Lima,"00506010108-2013-
0002470000","Sep 13, 2013",Archivo Definitivo,ESTAFA
"PALOMINO SAAVEDRA, ANGÉLICA MARÍA",Morado,Piura,03º Fiscalia Superior Penal De Ncpp De Piura,"02606064501-2011-
0008220005","Sep 11, 2013",Consulta Resuelta,ABUSO DE AUTORIDAD
"BARRIONUEVO ROMERO, BETTO",Somos Perú,Ancash,01º Fiscalia Superior Penal De Ancash,"01305014501-2013-
0003260000","Sep 10, 2013",Impugnacion Resuelta - Fiscal Superior,HURTO AGRAVADO (CASA-HABITADA)
"ACUÑA PERALTA, HUMBERTO",APP,Lambayeque,02º Fiscalia Provincial Penal Corporativa De Chiclayo,"02406074502-2013-
0016130000","Aug 23, 2013",Con Archivo (Preliminar),VIOLENCIA Y RESISTENCIA A LA AUTORIDAD (DESOB.Y.RESIST.A.ORDEN.OFICIAL)
"BURGA CHUQUIPIONDO, RICARDO MIGUEL",Acción Popular,Lima,02º Fiscalia Superior En Lo Penal De Lima,"00505010102-2012-
0008340000","Aug 23, 2013",Con Dictamen,ESTAFA
"QUISPE SUÁREZ, MARIO JAVIER",APP,Piura,04º Fiscalia Superior Penal De Ncpp De Piura,"02606054502-2013-
0003500002","Aug 14, 2013",Consulta Resuelta,VIOLACIÓN A LA LIBERTAD AL TRABAJO (IMPEDIMENTO.A.INTEGRAR.SINDICATO)
"PALOMINO SAAVEDRA, ANGÉLICA MARÍA",Morado,Piura,03º Fiscalia Superior Penal De Ncpp De Piura,"02606064501-2011-
0008220004","Aug 13, 2013",Recepcion De Solicitud De Consulta,ABUSO DE AUTORIDAD
"QUISPE SUÁREZ, MARIO JAVIER",APP,Piura,03º Fiscalia Superior En Lo Penal De Lima,"00506010129-2010-
0004600000","Aug 6, 2013",Con Dictamen,OMISIÓN DE ASISTENCIA FAMILIAR (INCUMPLIM.OBLIG.ALIMENTARIA)
"COLUMBUS MURATA, DIETHELL",Fuerza Popular,Lima,46ºfiscalia Provincial En Lo Penal De Lima,"00506010104-2013-
0004590000","Aug 6, 2013",Denuncia Pendiente,"USURPACIÓN DE AUTORIDAD, TITULOS Y HONORES (USURPACION DE FUNCIONES)"
"VALDEZ FARÍAS, LUIS ALBERTO",APP,La Libertad,Fiscalia Provincial Corporativa Especializada En Delitos De Corrupcion De Funcionarios - La Libertad,"02306015500-2013-
0001210000","Aug 5, 2013",Con Archivo (Preliminar),DELITOS COMETIDOS POR FUNCIONARIOS PUBLICOS
"QUISPE SUÁREZ, MARIO JAVIER",APP,Piura,04º Fiscalia Superior Penal De Ncpp De Piura,"02606054502-2013-
0003500001","Aug 2, 2013",Consulta Resuelta,VIOLACIÓN A LA LIBERTAD AL TRABAJO (IMPEDIMENTO.A.INTEGRAR.SINDICATO)
"GUIBOVICH ARTEAGA, OTTO NAPOLEÓN",Acción Popular,Ancash,04º Fiscalia Superior En Lo Penal De Lima,"00506010120-2010-
0003240000","Jul 25, 2013",Con Dictamen,VIOLENCIA Y RESISTENCIA A LA AUTORIDAD (DESOB.Y.RESIST.A.ORDEN.OFICIAL)
"ARAPA ROQUE, JESÚS ORLANDO",Acción Popular,Puno,2ª Fiscalia Provincial Civil Y Familia De Puno,"02706014802-2013-
0004410000","Jul 19, 2013",Archivo,MALTRATO FISICO
"PANTOJA CALVO, RUBEN",UPP,Cusco,Fiscalia Provincial Corporativa Especializada En Delitos De Corrupcion De Funcionarios-Abancay,"01406015500-2013-
0000900000","Jul 15, 2013",Con Archivo (Preliminar),VIOLACION A LA INTIMIDAD (ORG.INDEB.ARCHIV.LIBER.CREEN.RELIG)
"MELÉNDEZ CELIS, FERNANDO",APP,Loreto,01º Fiscalia Provincial De Prevencion Del Delito De Loreto (Ncpp),"02506014901-2013-
0001910000","Jul 12, 2013","Con Archivo Definitivo (Inv.
Preven.)",HOMICIDIO (CULPOSO)
"VEGA ANTONIO, JOSÉ ALEJANDRO",UPP,Lima,46ºfiscalia Provincial En Lo Penal De Lima,"00506010146-2013-
0002070000","Jul 12, 2013",Archivo Definitivo,VIOLACION DE DOMICILIO
"VALDEZ FARÍAS, LUIS ALBERTO",APP,La Libertad,02º Fiscalia Superior Penal De La Libertad,"02306015500-2011-
0000980002","Jul 10, 2013",Audiencia De Apelacion,DELITOS COMETIDOS POR FUNCIONARIOS PUBLICOS
"NOVOA CRUZADO, ANTHONY RENSON",Acción Popular,La Libertad,02° Fiscalia Provincial Penal Corporativa De Trujillo,"02306014502-2013-
0016620000","Jul 9, 2013",Con Archivo (Preliminar),CONTRA LA FE PUBLICA (FALSIFICACION DOCUMENTARIA)
"RODAS MALCA, TANIA ROSALIA",APP,La Libertad,03° Fiscalia Provincial Penal Corporativa De Trujillo,"02306014502-2010-
0037240000","Jul 2, 2013",En Audiencia,LESIONES (CULPOSAS)
"AYASTA DE DÍAZ, RITA ELENA",Fuerza Popular,Lambayeque,Fiscalia Provincial Mixta Coorporativa La Victoria,"02406094500-2012-
0032390000","Jun 25, 2013",Con Archivo (Preliminar),ABUSO DE AUTORIDAD. (OMISION Y REHUS.RETARD.ACTO.OFIC.)
"QUISPE SUÁREZ, MARIO JAVIER",APP,Piura,01º Fiscalia Provincial Penal Corporativa De Ayabaca,"02606024501-2012-
0002370000","Jun 21, 2013",Con Archivo (Preliminar),RECEPTACION
"BURGA CHUQUIPIONDO, RICARDO MIGUEL",Acción Popular,Lima,02º Fiscalia Superior Civil Y Contencioso Administrativo De Lima,"00505010202-2013-
0006130000","Jun 21, 2013",Con Dictamen,PRESCRIPCION ADQUISITIVA
"BURGA CHUQUIPIONDO, RICARDO MIGUEL",Acción Popular,Lima,52° Fiscalia Provincial En Lo Penal De Lima,"00506010152-2013-
0001440000","Jun 19, 2013",Archivo Definitivo,DELITO CONTRA LA LIBERTAD
"MELÉNDEZ CELIS, FERNANDO",APP,Loreto,04º Fiscalia Provincial Penal Corporativa De Maynas (Ncpp),"02506014504-2013-
0006070000","Jun 13, 2013",En Calificacion (Califica),DAÑO AGRAVADO (BIENES DE VALOR)
